cpu,platform,platform_core_num,bench_env,os_type,os_release,os_version,blender_version,bench_version,bench_max_core_num,bench_hash,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,1,0.517063116,0.517063116,1.93399987,1.93399987,1.93399987,1.93399987
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,2,1.019667126,0.509833563,1.961424706,1.961424706,1.960674708,1.962174704
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,3,1.519095226,0.506365075,1.974926019,1.971937211,1.96263369,1.990207155
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,4,2.020162552,0.505040638,1.980055907,1.978516757,1.973880448,1.989309666
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,5,2.536440072,0.507288014,1.97170049,1.987138593,1.914453576,1.991173822
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,6,3.043177528,0.507196255,1.971785511,1.982090406,1.944698543,1.98727559
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,7,3.520251401,0.502893057,1.988515461,1.990739391,1.978508754,1.997639309
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,8,4.013704555,0.501713069,1.993190347,1.994147244,1.98172828,2.001321212
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,9,4.523552198,0.502616911,1.990055297,1.995587612,1.914635098,2.035227583
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,10,5.034146022,0.503414602,1.986637675,1.995259466,1.945679534,2.001111052
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,11,5.492285405,0.499298673,2.002867938,2.008306882,1.978505168,2.01343182
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,12,5.959642451,0.496636871,2.013599368,2.01345781,1.993274392,2.036193382
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,13,6.484339103,0.498795316,2.00517549,2.009876856,1.918235522,2.021688789
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,14,7.000334967,0.500023926,2.000098501,2.006652725,1.954113521,2.020857446
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,15,7.429783836,0.495318922,2.019069695,2.020928047,1.985821665,2.051755732
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,16,7.879181696,0.492448856,2.03069058,2.031250175,2.014715006,2.041412207
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,17,8.349995619,0.491176213,2.036345634,2.042793556,1.926819211,2.064501268
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,18,8.853910607,0.491883923,2.033318354,2.038607275,1.958185506,2.059522941
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,19,9.297277906,0.489330416,2.043645823,2.045548239,2.021512264,2.054504307
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,20,9.705420929,0.485271046,2.060740573,2.061657359,2.042206104,2.072909319
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,21,10.19353474,0.485406416,2.060649856,2.06475641,1.925098525,2.084582307
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,22,10.57828998,0.480831363,2.084632574,2.065559786,1.9920748,2.5818951
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,23,11.09557223,0.482416184,2.073012486,2.076572618,2.031474315,2.090718873
AMD EPYC 7543 32-Core Processor,2_cpu,128,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_3,128,eb14e8e2b1ca468a,particle_movement,mp,24,11.39150167,0.474645903,2.10696626,2.103595771,2.080628739,2.159881943
