cpu,hardware,bench_env,os_type,os_release,os_version,blender_version,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time,bench_hash
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_movement,mp,1,0.20052173944638402,0.20052173944638402,4.986990451812744,4.986990451812744,4.986990451812744,4.986990451812744,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_movement,mp,2,0.26517774969565877,0.13258887484782939,7.542399525642395,7.542399525642395,7.495743036270142,7.589056015014648,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_movement,mp,3,0.3032959730864455,0.10109865769548183,9.905638456344604,9.63853931427002,9.633092641830444,10.44528341293335,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_movement,mp,4,0.3462520005530665,0.08656300013826662,11.55894124507904,11.627200245857239,11.127087831497192,11.854276657104492,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_movement,mp,5,0.48781987993955744,0.09756397598791149,10.25175862312317,10.137732982635498,10.130646467208862,10.467548847198486,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_movement,mp,6,0.5112045804106569,0.08520076340177614,11.749712864557901,11.690299272537231,11.350501298904419,12.500476360321045,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_movement,mp,7,0.5675272969062132,0.08107532812945903,12.346142053604126,12.26956295967102,11.837788820266724,12.875429153442383,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_movement,mp,8,0.5986542445521044,0.07483178056901305,13.364757359027863,13.313881158828735,13.194340229034424,13.611321926116943,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_movement,th,1,0.19370156253276039,0.19370156253276039,5.162580966949463,5.162580966949463,5.162580966949463,5.162580966949463,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_movement,th,2,0.20127577711220715,0.10063788855610357,4.968307733535767,4.968307733535767,4.968307733535767,4.968307733535767,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_movement,th,3,0.19877907122779595,0.06625969040926531,5.030710697174072,5.030710697174072,5.030710697174072,5.030710697174072,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_movement,th,4,0.19131151965369012,0.04782787991342253,5.227076768875122,5.227076768875122,5.227076768875122,5.227076768875122,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_movement,th,5,0.15995900708734082,0.031991801417468164,6.251601696014404,6.251601696014404,6.251601696014404,6.251601696014404,2c44984fa44c4cc1
