cpu,hardware,bench_env,os_type,os_release,os_version,blender_version,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time,bench_hash
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,particle_movement,mp,1,0.21244864930137117,0.21244864930137117,4.707019805908203,4.707019805908203,4.707019805908203,4.707019805908203,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,particle_movement,mp,2,0.40023965654604854,0.20011982827302427,4.99700927734375,4.99700927734375,4.993016481399536,5.001002073287964,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,particle_movement,mp,3,0.5554544161227891,0.18515147204092972,5.400999704996745,5.4050092697143555,5.387990951538086,5.409998893737793,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,particle_movement,mp,4,0.6635429635170242,0.16588574087925606,6.028250157833099,6.029484510421753,6.0200347900390625,6.033996820449829,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,particle_movement,mp,5,0.7158086346704065,0.1431617269340813,6.98520793914795,6.9850194454193115,6.950000524520874,7.01803731918335,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,particle_movement,mp,6,0.7328270732788074,0.1221378455464679,8.187512119611105,8.18503224849701,8.16400933265686,8.224042177200317,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,particle_movement,mp,7,0.7064314438008545,0.10091877768583636,9.916999169758387,9.88702130317688,9.591981887817383,10.37398886680603,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,particle_movement,mp,8,0.7467212393620661,0.09334015492025827,10.717384487390518,10.682996392250061,10.49800992012024,10.971003293991089,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,particle_movement,th,1,0.21150591482789033,0.21150591482789033,4.728000164031982,4.728000164031982,4.728000164031982,4.728000164031982,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,particle_movement,th,2,0.2603490559771972,0.1301745279885986,3.8409972190856934,3.8409972190856934,3.8409972190856934,3.8409972190856934,2effd2a659bb4843
