cpu,platform,platform_core_num,bench_env,os_type,os_release,os_version,blender_version,bench_version,bench_max_core_num,bench_hash,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,2e945f7b9cff4f95,particle_movement,mp,1,0.49501147448792626,0.49501147448792626,2.020155191421509,2.020155191421509,2.020155191421509,2.020155191421509
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,2e945f7b9cff4f95,particle_movement,mp,2,0.9485655305642455,0.47428276528212276,2.108473539352417,2.108473539352417,2.100971221923828,2.115975856781006
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,2e945f7b9cff4f95,particle_movement,mp,3,1.3390925142555095,0.44636417141850315,2.240328073501587,2.2379868030548096,2.2379844188690186,2.2450129985809326
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,2e945f7b9cff4f95,particle_movement,mp,4,1.6797921671181901,0.41994804177954753,2.381252706050873,2.380004048347473,2.3780012130737305,2.3870015144348145
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,2e945f7b9cff4f95,particle_movement,mp,5,1.8729750328446444,0.37459500656892886,2.6696123123168944,2.6790030002593994,2.651047468185425,2.6820027828216553
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,2e945f7b9cff4f95,particle_movement,mp,6,2.0911108796646967,0.3485184799441161,2.8693286577860513,2.8715022802352905,2.8469934463500977,2.8820013999938965
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,2e945f7b9cff4f95,particle_movement,mp,7,2.1814195844705644,0.3116313692100806,3.2091398579733714,3.213000535964966,3.1669983863830566,3.2470033168792725
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,2e945f7b9cff4f95,particle_movement,mp,8,2.2875906257477245,0.28594882821846557,3.4972575306892395,3.494508147239685,3.4590046405792236,3.529008388519287
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,2e945f7b9cff4f95,particle_movement,th,1,0.482162155451193,0.482162155451193,2.073991060256958,2.073991060256958,2.073991060256958,2.073991060256958
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,2e945f7b9cff4f95,particle_movement,th,2,0.6127443933715037,0.30637219668575183,1.6320018768310547,1.6320018768310547,1.6320018768310547,1.6320018768310547
