cpu,platform,platform_core_num,bench_env,os_type,os_release,os_version,blender_version,bench_version,bench_max_core_num,bench_hash,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_3,8,33530f516d934707,particle_movement,mp,1,0.4964594497899762,0.4964594497899762,2.0142631999915466,2.0142631999915466,2.0142631999915466,2.0142631999915466
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_3,8,33530f516d934707,particle_movement,mp,2,0.9577097675653492,0.4788548837826746,2.0883770500076935,2.0883770500076935,2.077024900005199,2.099729200010188
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_3,8,33530f516d934707,particle_movement,mp,3,1.3215241813494987,0.44050806044983287,2.270208433328662,2.263285299995914,2.255944999997155,2.2913949999929173
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_3,8,33530f516d934707,particle_movement,mp,4,1.6405232625500108,0.4101308156375027,2.43826215000081,2.4393568000014056,2.428600400002324,2.4457345999981044
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_3,8,33530f516d934707,particle_movement,mp,5,1.9015635976551275,0.3803127195310255,2.630749239996658,2.609063599986257,2.5874791000096593,2.7488853999966523
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_3,8,33530f516d934707,particle_movement,mp,6,2.115256555223738,0.35254275920395634,2.838808299995435,2.817798149997543,2.7660867999948096,3.0123300999985076
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_3,8,33530f516d934707,particle_movement,mp,7,2.2041924458210036,0.3148846351172862,3.1820962285731054,3.1351166000094963,3.0598479000036605,3.5304819000011776
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_3,8,33530f516d934707,particle_movement,mp,8,2.3372060534559767,0.2921507566819971,3.427184137501172,3.368779500000528,3.3194207000051392,3.708811999997124
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_3,8,33530f516d934707,particle_movement,th,1,0.47517870758383884,0.47517870758383884,2.104471400001785,2.104471400001785,2.104471400001785,2.104471400001785
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_3,8,33530f516d934707,particle_movement,th,2,0.6333625228994121,0.31668126144970604,1.5788746000034735,1.5788746000034735,1.5788746000034735,1.5788746000034735
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_3,8,33530f516d934707,particle_movement,th,3,0.6739206587851146,0.22464021959503822,1.4838541999924928,1.4838541999924928,1.4838541999924928,1.4838541999924928
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_3,8,33530f516d934707,particle_movement,th,4,0.7106520993462062,0.17766302483655155,1.4071582999895327,1.4071582999895327,1.4071582999895327,1.4071582999895327
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_3,8,33530f516d934707,particle_movement,th,5,0.7338611996976625,0.1467722399395325,1.362655499993707,1.362655499993707,1.362655499993707,1.362655499993707
