cpu,platform,platform_core_num,bench_env,os_type,os_release,os_version,blender_version,bench_version,bench_max_core_num,bench_hash,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,9,345213b22a85433b,particle_movement,mp,1,0.4933376602128491,0.4933376602128491,2.0270092487335205,2.0270092487335205,2.0270092487335205,2.0270092487335205
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,9,345213b22a85433b,particle_movement,mp,2,0.9476505703724516,0.4738252851862258,2.110525369644165,2.110525369644165,2.101019859313965,2.1200308799743652
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,9,345213b22a85433b,particle_movement,mp,3,1.3582986365090144,0.45276621216967144,2.2086724440256753,2.2120094299316406,2.19799542427063,2.216012477874756
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,9,345213b22a85433b,particle_movement,mp,4,1.6926303493748742,0.42315758734371856,2.363221526145935,2.3619699478149414,2.3519468307495117,2.3769993782043457
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,9,345213b22a85433b,particle_movement,mp,5,1.8602941843380794,0.37205883686761587,2.68779935836792,2.6940040588378906,2.671987295150757,2.699007749557495
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,9,345213b22a85433b,particle_movement,mp,6,2.0756525765988245,0.3459420960998041,2.8906673987706504,2.8920007944107056,2.8820009231567383,2.8969907760620117
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,9,345213b22a85433b,particle_movement,mp,7,2.1682672910456517,0.30975247014937884,3.228433506829398,3.2380268573760986,3.211014986038208,3.2409865856170654
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,9,345213b22a85433b,particle_movement,mp,8,2.3183180899126605,0.28978976123908257,3.4508758187294006,3.454501986503601,3.4209883213043213,3.4810009002685547
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,9,345213b22a85433b,particle_movement,mp,9,2.3517688877889515,0.2613076541987724,3.838999695248074,4.016988515853882,3.5850086212158203,4.040997266769409
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,9,345213b22a85433b,particle_movement,th,1,0.4835564114598483,0.4835564114598483,2.0680110454559326,2.0680110454559326,2.0680110454559326,2.0680110454559326
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,9,345213b22a85433b,particle_movement,th,2,0.6116332851965871,0.30581664259829355,1.6349666118621826,1.6349666118621826,1.6349666118621826,1.6349666118621826
