cpu,platform,platform_core_num,bench_env,os_type,os_release,os_version,blender_version,bench_version,bench_max_core_num,bench_hash,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,42d83acd56624e01,particle_movement,mp,1,0.4913983405202259,0.4913983405202259,2.0350089073181152,2.0350089073181152,2.0350089073181152,2.0350089073181152
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,42d83acd56624e01,particle_movement,mp,2,0.9569495505304237,0.47847477526521187,2.0900049209594727,2.0900049209594727,2.0820095539093018,2.0980002880096436
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,42d83acd56624e01,particle_movement,mp,3,1.3113934101996385,0.43713113673321286,2.2876457373301187,2.286989688873291,2.2849810123443604,2.290966510772705
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,42d83acd56624e01,particle_movement,mp,4,1.6845775830802976,0.4211443957700744,2.3745157122612,2.3760117292404175,2.3610188961029053,2.3850204944610596
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,42d83acd56624e01,particle_movement,mp,5,1.8925239126439348,0.37850478252878694,2.6419816970825196,2.643968343734741,2.636970043182373,2.6480140686035156
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,42d83acd56624e01,particle_movement,mp,6,2.045389150078883,0.3408981916798138,2.9335037072499595,2.929502487182617,2.912989377975464,2.9590203762054443
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,42d83acd56624e01,particle_movement,mp,7,2.082567362109775,0.2975096231585393,3.361431973321097,3.3540031909942627,3.3330085277557373,3.411012649536133
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,42d83acd56624e01,particle_movement,mp,8,2.2640237440918063,0.2830029680114758,3.533748537302017,3.5259969234466553,3.4880144596099854,3.5759828090667725
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,42d83acd56624e01,particle_movement,th,1,0.48567512750074454,0.48567512750074454,2.0589895248413086,2.0589895248413086,2.0589895248413086,2.0589895248413086
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,42d83acd56624e01,particle_movement,th,2,0.611620887862174,0.305810443931087,1.6349997520446777,1.6349997520446777,1.6349997520446777,1.6349997520446777
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,42d83acd56624e01,particle_movement,th,3,0.663139349882789,0.22104644996092968,1.5079786777496338,1.5079786777496338,1.5079786777496338,1.5079786777496338
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,42d83acd56624e01,particle_movement,th,4,0.695894321986908,0.173973580496727,1.436999797821045,1.436999797821045,1.436999797821045,1.436999797821045
