cpu,platform,platform_core_num,bench_env,os_type,os_release,os_version,blender_version,bench_version,bench_max_core_num,bench_hash,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5b79d2b9627d46fb,particle_movement,mp,1,0.4971590344136396,0.4971590344136396,2.011428800000431,2.011428800000431,2.011428800000431,2.011428800000431
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5b79d2b9627d46fb,particle_movement,mp,2,0.9567590725154769,0.47837953625773844,2.090394450000531,2.090394450000531,2.08749220000027,2.093296700000792
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5b79d2b9627d46fb,particle_movement,mp,3,1.3845565405050637,0.46151884683502126,2.1667610333327807,2.166428000000451,2.1642188000005262,2.1696362999973644
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5b79d2b9627d46fb,particle_movement,mp,4,1.7307521708678906,0.43268804271697264,2.3111557250012993,2.3126179500013677,2.3001953000020876,2.319191700000374
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5b79d2b9627d46fb,particle_movement,mp,5,1.9898745353086669,0.3979749070617334,2.512781720001658,2.5061345000030997,2.5002439000018057,2.530226400001993
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5b79d2b9627d46fb,particle_movement,mp,6,2.116951906857086,0.35282531780951437,2.834332066665714,2.8380699999997887,2.8133938999999373,2.856003499997314
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5b79d2b9627d46fb,particle_movement,mp,7,2.2189602006382287,0.3169943143768898,3.1548362571421813,3.1474773999980243,3.1114770999993198,3.1939653000008548
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5b79d2b9627d46fb,particle_movement,mp,8,2.27761295493388,0.284701619366735,3.513275437500397,3.512477950000175,3.4518317000001844,3.591680000001361
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5b79d2b9627d46fb,particle_movement,th,1,0.5003728528315435,0.5003728528315435,1.9985096999989764,1.9985096999989764,1.9985096999989764,1.9985096999989764
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5b79d2b9627d46fb,particle_movement,th,2,0.6355611999029505,0.31778059995147523,1.5734126000024844,1.5734126000024844,1.5734126000024844,1.5734126000024844
