cpu,platform,platform_core_num,bench_env,os_type,os_release,os_version,blender_version,bench_version,bench_max_core_num,bench_hash,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5f4236f306704717,particle_movement,mp,1,0.5056525380373426,0.5056525380373426,1.9776425999589264,1.9776425999589264,1.9776425999589264,1.9776425999589264
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5f4236f306704717,particle_movement,mp,2,0.961960981955617,0.4809804909778085,2.079182300134562,2.079182300134562,2.0650620001833886,2.0933026000857353
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5f4236f306704717,particle_movement,mp,3,1.398597718171123,0.4661992393903744,2.1450092666006335,2.1437478999141604,2.1424042999278754,2.148875599959865
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5f4236f306704717,particle_movement,mp,4,1.7127638481356842,0.42819096203392104,2.3355397000559606,2.339066300075501,2.307677600067109,2.356348600005731
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5f4236f306704717,particle_movement,mp,5,1.9986489542312444,0.3997297908462489,2.5020292800385504,2.5004883999936283,2.4502898999489844,2.5297716001514345
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5f4236f306704717,particle_movement,mp,6,2.1428860365304647,0.35714767275507747,2.8001141666900367,2.801615049946122,2.768730000127107,2.8245880999602377
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5f4236f306704717,particle_movement,mp,7,2.2547927716000946,0.3221132530857278,3.1049218427922045,3.0838261998724192,3.0612182999029756,3.1603973999153823
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5f4236f306704717,particle_movement,mp,8,2.2706888418211815,0.2838361052276477,3.5238166250055656,3.511485749972053,3.450636100023985,3.58891940000467
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5f4236f306704717,particle_movement,th,1,0.5042310786359436,0.5042310786359436,1.983217699918896,1.983217699918896,1.983217699918896,1.983217699918896
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5f4236f306704717,particle_movement,th,2,0.6536293751030771,0.32681468755153853,1.5299190001096576,1.5299190001096576,1.5299190001096576,1.5299190001096576
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5f4236f306704717,particle_movement,th,3,0.7019507352278341,0.23398357840927805,1.4246013998053968,1.4246013998053968,1.4246013998053968,1.4246013998053968
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5f4236f306704717,particle_movement,th,4,0.7370963181838016,0.1842740795459504,1.3566747999284416,1.3566747999284416,1.3566747999284416,1.3566747999284416
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5f4236f306704717,particle_movement,th,5,0.7490802230720126,0.1498160446144025,1.3349705000873655,1.3349705000873655,1.3349705000873655,1.3349705000873655
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,5f4236f306704717,particle_movement,th,6,0.7519511628529193,0.12532519380881987,1.3298736000433564,1.3298736000433564,1.3298736000433564,1.3298736000433564
