cpu,hardware,bench_env,os_type,os_release,os_version,blender_version,bench_verion,bench_hash,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_movement,mp,1,0.491644524,0.491644524,2.033989906,2.033989906,2.033989906,2.033989906
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_movement,mp,2,0.962001866,0.481000933,2.07900238,2.07900238,2.076000452,2.082004309
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_movement,mp,3,1.35317962,0.451059873,2.217000882,2.217001915,2.215996265,2.218004465
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_movement,mp,4,1.696002349,0.424000587,2.358503759,2.36000526,2.349000931,2.365003586
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_movement,mp,5,1.910044988,0.382008998,2.617798805,2.615004778,2.603005171,2.638978958
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_movement,mp,6,2.077335511,0.346222585,2.888337811,2.891500711,2.876012564,2.898005486
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_movement,mp,7,2.177752274,0.311107468,3.214431524,3.214999437,3.17499733,3.239000082
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_movement,mp,8,2.245906547,0.280738318,3.562122107,3.560498595,3.53600502,3.583996058
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_movement,mp,9,2.334887244,0.259431916,3.861336258,3.947002172,3.637990475,4.077001333
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_movement,th,1,0.483084904,0.483084904,2.070029497,2.070029497,2.070029497,2.070029497
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_movement,th,2,0.615392741,0.307696371,1.624978542,1.624978542,1.624978542,1.624978542
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_movement,th,3,0.668891465,0.222963822,1.495010853,1.495010853,1.495010853,1.495010853
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_movement,th,4,0.694917183,0.173729296,1.439020395,1.439020395,1.439020395,1.439020395
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_movement,th,5,0.711748135,0.142349627,1.404991388,1.404991388,1.404991388,1.404991388
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_movement,th,6,0.736375969,0.122729328,1.358001947,1.358001947,1.358001947,1.358001947
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_movement,th,7,0.746825199,0.106689314,1.339001417,1.339001417,1.339001417,1.339001417
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_movement,th,8,0.7462699,0.093283737,1.339997768,1.339997768,1.339997768,1.339997768
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_movement,th,9,0.751880551,0.083542283,1.329998493,1.329998493,1.329998493,1.329998493
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_collision,mp,1,0.491161203,0.491161203,2.03599143,2.03599143,2.03599143,2.03599143
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,particle_collision,mp,2,0.962928746,0.481464373,2.077001214,2.077001214,2.074000359,2.080002069
