cpu,platform,platform_core_num,bench_env,os_type,os_release,os_version,blender_version,bench_version,bench_max_core_num,bench_hash,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,c4e9d4e4762a4dd4,particle_movement,mp,1,0.4989678600447383,0.4989678600447383,2.0041370999533683,2.0041370999533683,2.0041370999533683,2.0041370999533683
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,c4e9d4e4762a4dd4,particle_movement,mp,2,0.9455082944164541,0.47275414720822706,2.11526504997164,2.11526504997164,2.1140594999305904,2.11647060001269
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,c4e9d4e4762a4dd4,particle_movement,mp,3,1.3594459425310352,0.45314864751034506,2.206810266477987,2.2081167998258024,2.1964492998085916,2.2158646997995675
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,c4e9d4e4762a4dd4,particle_movement,mp,4,1.7355117644087967,0.4338779411021992,2.304797824821435,2.3044873498147354,2.302013399777934,2.308203199878335
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,c4e9d4e4762a4dd4,particle_movement,mp,5,1.949869349092635,0.389973869818527,2.564504339918494,2.5782895998563617,2.5295500999782234,2.5875144000165164
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,c4e9d4e4762a4dd4,particle_movement,mp,6,2.168315522463157,0.36138592041052614,2.7671452665623897,2.764701099949889,2.7579092998057604,2.7791059999726713
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,c4e9d4e4762a4dd4,particle_movement,mp,7,2.2261697241058283,0.3180242463008326,3.144556685650189,3.1561908998992294,3.105777399847284,3.1692838999442756
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,c4e9d4e4762a4dd4,particle_movement,mp,8,2.3308547510092565,0.29135684387615707,3.4332646874536294,3.4302910499973223,3.3679588998202235,3.5007370999082923
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,c4e9d4e4762a4dd4,particle_movement,th,1,0.48887372296072534,0.48887372296072534,2.045517999911681,2.045517999911681,2.045517999911681,2.045517999911681
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,c4e9d4e4762a4dd4,particle_movement,th,2,0.6377855270680484,0.3188927635340242,1.5679251998662949,1.5679251998662949,1.5679251998662949,1.5679251998662949
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,c4e9d4e4762a4dd4,particle_movement,th,3,0.6848616134694341,0.22828720448981135,1.4601489999331534,1.4601489999331534,1.4601489999331534,1.4601489999331534
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,c4e9d4e4762a4dd4,particle_movement,th,4,0.7082898886390947,0.17707247215977368,1.4118512999266386,1.4118512999266386,1.4118512999266386,1.4118512999266386
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_1,8,c4e9d4e4762a4dd4,particle_movement,th,5,0.7293088515722249,0.14586177031444497,1.3711611998733133,1.3711611998733133,1.3711611998733133,1.3711611998733133
