cpu,platform,platform_core_num,bench_env,os_type,os_release,os_version,blender_version,bench_version,bench_max_core_num,bench_hash,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,df9ed11d4cd44ed2,particle_movement,mp,1,0.4928770881842972,0.4928770881842972,2.0289034000015818,2.0289034000015818,2.0289034000015818,2.0289034000015818
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,df9ed11d4cd44ed2,particle_movement,mp,2,0.9398502708688518,0.4699251354344259,2.127998550000484,2.127998550000484,2.1278229000017745,2.1281741999991937
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,df9ed11d4cd44ed2,particle_movement,mp,3,1.2370150286362598,0.41233834287875326,2.42519719999594,2.4261117999994894,2.4208415999892168,2.4286381999991136
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,df9ed11d4cd44ed2,particle_movement,mp,4,1.5406886578910424,0.3851721644727606,2.5963024249940645,2.5957664499946986,2.5817408000002615,2.611935999986599
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,df9ed11d4cd44ed2,particle_movement,mp,5,1.6928357244568082,0.33856714489136164,2.95366134000069,2.9474447000102373,2.942505099999835,2.9673330999939935
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,df9ed11d4cd44ed2,particle_movement,mp,6,1.9313133956015713,0.32188556593359524,3.1068307166666878,3.1019707000014023,3.080972499999916,3.140005499997642
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,df9ed11d4cd44ed2,particle_movement,mp,7,1.8702642398643905,0.2671806056949129,3.743059800000213,3.745048800003133,3.676573400007328,3.7815049000055296
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,df9ed11d4cd44ed2,particle_movement,mp,8,2.2724952515315664,0.2840619064414458,3.5339672500031156,3.526271150003595,3.295559600010165,3.7809421999991173
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,df9ed11d4cd44ed2,particle_movement,th,1,0.47664569552731134,0.47664569552731134,2.097994399999152,2.097994399999152,2.097994399999152,2.097994399999152
AMD Ryzen 7 4700U with Radeon Graphics,standart,8,bare,Win,10,10.0.19044,4.0.2,1_0_2,8,df9ed11d4cd44ed2,particle_movement,th,2,0.6050017430063902,0.3025008715031951,1.6528878000099212,1.6528878000099212,1.6528878000099212,1.6528878000099212
