cpu,hardware,bench_env,os_type,os_release,os_version,blender_version,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time,bench_hash
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,mp,1,0.21045289,0.21045289,4.751657248,4.751657248,4.751657248,4.751657248,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,mp,2,0.401870084,0.200935042,4.976733923,4.976733923,4.974294186,4.97917366,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,mp,3,0.556626574,0.185542191,5.389618476,5.391255379,5.38051486,5.39708519,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,mp,4,0.67486556,0.16871639,5.927111626,5.925899744,5.92147398,5.935173035,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,mp,5,0.777885485,0.155577097,6.42771678,6.435135365,6.401930332,6.444901943,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,mp,6,0.839958005,0.139993001,7.143257737,7.144069195,7.116732359,7.164586782,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,mp,7,0.897187712,0.128169673,7.804194518,7.813955307,7.528822422,7.920401335,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,mp,8,0.92134153,0.115167691,8.688043147,8.576104641,8.45942831,9.055080414,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,th,1,0.200443745,0.200443745,4.988930941,4.988930941,4.988930941,4.988930941,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,th,2,0.256272164,0.128136082,3.902101517,3.902101517,3.902101517,3.902101517,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,th,3,0.281646223,0.093882074,3.55055356,3.55055356,3.55055356,3.55055356,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,th,4,0.297087191,0.074271798,3.366015196,3.366015196,3.366015196,3.366015196,e6a54382baa14b72
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,th,5,0.302711307,0.060542261,3.303477526,3.303477526,3.303477526,3.303477526,e6a54382baa14b72
