cpu,hardware,bench_env,os_type,os_release,os_version,blender_version,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,mp,1,0.20929208465705307,0.20929208465705307,4.7780115604400635,4.7780115604400635,4.7780115604400635,4.7780115604400635
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,mp,2,0.4021073399718038,0.2010536699859019,4.973807096481323,4.973807096481323,4.966479301452637,4.98113489151001
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,mp,3,0.5643654545802383,0.18812181819341278,5.315743048985799,5.324865341186523,5.295555114746094,5.32680869102478
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,mp,4,0.6841646987846627,0.17104117469616567,5.846550941467285,5.845820903778076,5.839462995529175,5.8550989627838135
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,mp,5,0.7806902193178915,0.1561380438635783,6.404642963409424,6.396075010299683,6.384314775466919,6.436081886291504
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,mp,6,0.8525273600965131,0.14208789334941885,7.037957668304443,7.034688711166382,7.015175819396973,7.0757246017456055
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,mp,7,0.8879605099859118,0.12685150142655882,7.883981909070696,7.903796672821045,7.744627475738525,7.979957103729248
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,mp,8,0.9031764804250711,0.1128970600531339,8.873699456453323,8.963286876678467,8.32562804222107,9.351938962936401
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,th,1,0.2029457123761251,0.2029457123761251,4.927426099777222,4.927426099777222,4.927426099777222,4.927426099777222
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,th,2,0.25945420581652434,0.12972710290826217,3.8542447090148926,3.8542447090148926,3.8542447090148926,3.8542447090148926
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,th,3,0.28406570558188615,0.09468856852729539,3.5203123092651367,3.5203123092651367,3.5203123092651367,3.5203123092651367
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,th,4,0.2955467489853384,0.0738866872463346,3.383559465408325,3.383559465408325,3.383559465408325,3.383559465408325
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,th,5,0.30351712059111646,0.06070342411822329,3.2947070598602295,3.2947070598602295,3.2947070598602295,3.2947070598602295
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,th,6,0.30660630210841977,0.0511010503514033,3.2615115642547607,3.2615115642547607,3.2615115642547607,3.2615115642547607
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,th,7,0.3091985504253826,0.04417122148934037,3.2341678142547607,3.2341678142547607,3.2341678142547607,3.2341678142547607
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_movement,th,8,0.3164595317281633,0.039557441466020415,3.159961700439453,3.159961700439453,3.159961700439453,3.159961700439453
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,mp,1,0.21158382369736564,0.21158382369736564,4.726259231567383,4.726259231567383,4.726259231567383,4.726259231567383
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,mp,2,0.412264080740798,0.206132040370399,4.851260185241699,4.851260185241699,4.84931755065918,4.853202819824219
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,mp,3,0.5872678987726001,0.19575596625753336,5.108401298522949,5.109048366546631,5.107104539871216,5.109050989151001
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,mp,4,0.7381830790011724,0.1845457697502931,5.418828785419464,5.42638897895813,5.377585411071777,5.444951772689819
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,mp,5,0.8830287412301792,0.17660574824603584,5.662337112426758,5.665654420852661,5.651981353759766,5.668601989746094
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,mp,6,0.9904251926197076,0.16507086543661795,6.058215419451396,6.066510438919067,6.006479263305664,6.0943357944488525
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,mp,7,1.1022090956620845,0.15745844223744063,6.351441281182425,6.372640371322632,6.231067419052124,6.419512987136841
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,mp,8,1.165524914989966,0.14569061437374575,6.867981791496277,6.832103371620178,6.688048601150513,7.187065601348877
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,particle_collision,th,1,0.2031866405310916,0.2031866405310916,4.921583414077759,4.921583414077759,4.921583414077759,4.921583414077759
