cpu,os,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,1,0.213812270731762,0.213812270731762,4.677000045776367,4.677000045776367,4.677000045776367,4.677000045776367
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,2,0.40807892779283994,0.20403946389641997,4.901013493537903,4.901013493537903,4.899018049240112,4.903008937835693
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,3,0.5581773263571341,0.18605910878571139,5.374662637710571,5.376996755599976,5.359009504318237,5.387981653213501
AMD Ryzen 7 4700U with Radeon Graphics,win,move,mp,4,0.6697650007305033,0.16744125018262582,5.972247779369354,5.971001863479614,5.966998338699341,5.979989051818848
AMD Ryzen 7 4700U with Radeon Graphics,win,move,th,1,0.21079217940300585,0.21079217940300585,4.744009017944336,4.744009017944336,4.744009017944336,4.744009017944336
AMD Ryzen 7 4700U with Radeon Graphics,win,move,th,2,0.2642706353534332,0.1321353176767166,3.7839996814727783,3.7839996814727783,3.7839996814727783,3.7839996814727783
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,mp,1,0.08991996888145608,0.08991996888145608,11.121000289916992,11.121000289916992,11.121000289916992,11.121000289916992
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,mp,2,0.1763591144289321,0.08817955721446605,11.340503334999084,11.340503334999084,11.33199667930603,11.349009990692139
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,mp,3,0.25349343411840936,0.08449781137280311,11.834639390309652,11.842000484466553,11.816961288452148,11.844956398010254
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,mp,4,0.3207513337048424,0.0801878334262106,12.470732629299164,12.470979690551758,12.454999923706055,12.485971212387085
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,th,1,0.08737433610525024,0.08737433610525024,11.445008277893066,11.445008277893066,11.445008277893066,11.445008277893066
AMD Ryzen 7 4700U with Radeon Graphics,win,coll,th,2,0.08962163713786503,0.044810818568932514,11.158019781112671,11.158019781112671,11.158019781112671,11.158019781112671
