cpu,os,blender_version,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,move,mp,1,0.10675765676139072,0.10675765676139072,9.36700963973999,9.36700963973999,9.36700963973999,9.36700963973999
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,move,mp,2,0.205434443088787,0.1027172215443935,9.735473275184631,9.735473275184631,9.726956844329834,9.743989706039429
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,move,mp,3,0.2752049750619604,0.09173499168732013,10.90100359916687,10.906020641326904,10.87399935722351,10.922990798950195
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,move,mp,4,0.3412471909151883,0.08531179772879707,11.721748352050781,11.725502967834473,11.68799877166748,11.7479887008667
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,move,mp,5,0.3924922387605575,0.0784984477521115,12.739200830459595,12.739006996154785,12.681000232696533,12.779009342193604
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,move,mp,6,0.42604707503129646,0.07100784583854941,14.08315678437551,14.094497323036194,13.993982791900635,14.147978067398071
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,move,mp,7,0.45659241374409254,0.0652274876777275,15.33100427900042,15.332011699676514,15.283001899719238,15.364002704620361
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,move,mp,8,0.4766027914080253,0.05957534892600316,16.798863410949707,16.781489610671997,16.277966737747192,17.320992708206177
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,move,th,1,0.10308937242564074,0.10308937242564074,9.700320959091187,9.700320959091187,9.700320959091187,9.700320959091187
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,move,th,2,0.1293490504373849,0.06467452521869245,7.7310192584991455,7.7310192584991455,7.7310192584991455,7.7310192584991455
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,move,th,3,0.14270669876710892,0.04756889958903631,7.007379531860352,7.007379531860352,7.007379531860352,7.007379531860352
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,move,th,4,0.14889831574982565,0.03722457893745641,6.71599268913269,6.71599268913269,6.71599268913269,6.71599268913269
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,move,th,5,0.15029903721344426,0.030059807442688852,6.65340256690979,6.65340256690979,6.65340256690979,6.65340256690979
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,move,th,6,0.15408167639881162,0.02568027939980194,6.490064382553101,6.490064382553101,6.490064382553101,6.490064382553101
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,move,th,7,0.15544847823486185,0.022206925462123123,6.432999610900879,6.432999610900879,6.432999610900879,6.432999610900879
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,move,th,8,0.15678906117821617,0.01959863264727702,6.37799596786499,6.37799596786499,6.37799596786499,6.37799596786499
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,coll,mp,1,0.08583732022948543,0.08583732022948543,11.649944305419922,11.649944305419922,11.649944305419922,11.649944305419922
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,coll,mp,2,0.17277893328069138,0.08638946664034569,11.575485825538635,11.575485825538635,11.572987794876099,11.577983856201172
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,coll,mp,3,0.2545973104199829,0.0848657701399943,11.78332750002543,11.78499436378479,11.766998767852783,11.79798936843872
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,coll,mp,4,0.31926622109565084,0.07981655527391271,12.528745710849762,12.523497223854065,12.514995813369751,12.552992582321167
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,coll,mp,5,0.39026559274978934,0.07805311854995786,12.811798810958862,12.811002492904663,12.79400086402893,12.829998016357422
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,coll,mp,6,0.4498994660695152,0.0749832443449192,13.336332559585571,13.332499384880066,13.318997383117676,13.36300015449524
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,coll,mp,7,0.4966332820370456,0.07094761171957795,14.094998461859566,14.09798526763916,14.029999017715454,14.142003297805786
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,coll,mp,8,0.5666657007936087,0.07083321259920108,14.121004045009613,14.124997019767761,13.892008066177368,14.357006072998047
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,coll,th,1,0.08637726777695628,0.08637726777695628,11.577120065689087,11.577120065689087,11.577120065689087,11.577120065689087
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,coll,th,2,0.0875731970859406,0.0437865985429703,11.419018983840942,11.419018983840942,11.419018983840942,11.419018983840942
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,coll,th,3,0.08795059355008626,0.02931686451669542,11.370019912719727,11.370019912719727,11.370019912719727,11.370019912719727
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,coll,th,4,0.08806690853005818,0.022016727132514544,11.355002880096436,11.355002880096436,11.355002880096436,11.355002880096436
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,coll,th,5,0.08823019604952582,0.017646039209905165,11.333988189697266,11.333988189697266,11.333988189697266,11.333988189697266
AMD Ryzen 7 4700U with Radeon Graphics,win,4.0.2,coll,th,6,0.08821453431233572,0.014702422385389288,11.336000442504883,11.336000442504883,11.336000442504883,11.336000442504883
