cpu,os,blender_version,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,mp,1,0.10195386224479229,0.10195386224479229,9.808358192443848,9.808358192443848,9.808358192443848,9.808358192443848
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,mp,2,0.1916235492946361,0.09581177464731805,10.437130570411682,10.437130570411682,10.436643600463867,10.437617540359497
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,mp,3,0.2226480215930295,0.0742160071976765,13.474703629811605,13.494955062866211,13.36353611946106,13.565619707107544
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,mp,4,0.28493510124220867,0.07123377531055217,14.038346886634827,14.030532956123352,14.006606578826904,14.085715055465698
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,mp,5,0.301498943668589,0.060299788733717795,16.58493118286133,16.637486696243286,16.36244225502014,16.75224733352661
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,mp,6,0.3281647636513714,0.05469412727522857,18.283937454223633,18.28507924079895,18.116135835647583,18.40127444267273
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,mp,7,0.3349756667181257,0.047853666674017956,20.898762192044938,20.87367010116577,20.638601779937744,21.200788974761963
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,mp,8,0.35111287114392853,0.043889108892991066,22.85306680202484,23.640051007270813,21.18288826942444,24.04784393310547
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,th,1,0.10610345080382085,0.10610345080382085,9.424764156341553,9.424764156341553,9.424764156341553,9.424764156341553
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,th,2,0.1251794025984871,0.06258970129924354,7.988534688949585,7.988534688949585,7.988534688949585,7.988534688949585
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,th,3,0.13282754429520285,0.044275848098400954,7.528558969497681,7.528558969497681,7.528558969497681,7.528558969497681
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,th,4,0.13634837090947557,0.034087092727368894,7.334154367446899,7.334154367446899,7.334154367446899,7.334154367446899
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,th,5,0.1333678355994577,0.02667356711989154,7.4980597496032715,7.4980597496032715,7.4980597496032715,7.4980597496032715
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,th,6,0.14033674228085083,0.023389457046808473,7.125717639923096,7.125717639923096,7.125717639923096,7.125717639923096
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,th,7,0.1427157887344225,0.020387969819203215,7.006933212280273,7.006933212280273,7.006933212280273,7.006933212280273
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,move,th,8,0.14440051996944742,0.018050064996180927,6.925182819366455,6.925182819366455,6.925182819366455,6.925182819366455
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,1,0.0875607270211816,0.0875607270211816,11.420645236968994,11.420645236968994,11.420645236968994,11.420645236968994
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,2,0.1726556446910159,0.08632782234550795,11.583776235580444,11.583776235580444,11.56668496131897,11.600867509841919
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,3,0.25155753275427584,0.08385251091809194,11.925712982813517,11.918870687484741,11.915955066680908,11.942313194274902
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,4,0.3330705251811842,0.08326763129529605,12.009526133537292,12.009040832519531,11.97388219833374,12.046140670776367
AMD Ryzen 7 4700U with Radeon Graphics,win,3.5.1,coll,mp,5,0.34938664902169925,0.06987732980433985,14.310829496383667,14.317307233810425,14.283053159713745,14.34366774559021
