cpu,hardware,bench_env,os_type,os_release,os_version,blender_version,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time,bench_hash
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,particle_movement,mp,1,0.10720391856364318,0.10720391856364318,9.328017234802246,9.328017234802246,9.328017234802246,9.328017234802246,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,particle_movement,mp,2,0.19662470160363524,0.09831235080181762,10.171757936477661,10.171757936477661,10.140514850616455,10.203001022338867,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,particle_movement,mp,3,0.26706030607746706,0.08902010202582235,11.234245300292969,11.249871015548706,11.109248399734497,11.343616485595703,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,particle_movement,mp,4,0.3273754881935056,0.0818438720483764,12.218605041503906,12.202983379364014,12.17173171043396,12.296721696853638,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,particle_movement,th,1,0.10631347264137184,0.10631347264137184,9.406145572662354,9.406145572662354,9.406145572662354,9.406145572662354,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,particle_movement,th,2,0.13417345719945012,0.06708672859972506,7.453038930892944,7.453038930892944,7.453038930892944,7.453038930892944,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,particle_movement,th,3,0.14849356689576942,0.04949785563192314,6.734298467636108,6.734298467636108,6.734298467636108,6.734298467636108,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,particle_movement,th,4,0.15496546670855924,0.03874136667713981,6.45305061340332,6.45305061340332,6.45305061340332,6.45305061340332,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,particle_collision,mp,1,0.11830082017085304,0.11830082017085304,8.45302677154541,8.45302677154541,8.45302677154541,8.45302677154541,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,particle_collision,mp,2,0.23021844934309152,0.11510922467154576,8.687401056289673,8.687401056289673,8.68739652633667,8.687405586242676,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,particle_collision,mp,3,0.3414400655686335,0.1138133551895445,8.78635827700297,8.781150102615356,8.76552438735962,8.812400341033936,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,particle_collision,mp,4,0.4438724212933025,0.11096810532332563,9.011617004871368,9.00771164894104,8.999897480010986,9.031147241592407,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,particle_collision,th,1,0.11808259033592484,0.11808259033592484,8.468648910522461,8.468648910522461,8.468648910522461,8.468648910522461,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,particle_collision,th,2,0.11615375926106086,0.05807687963053043,8.609277963638306,8.609277963638306,8.609277963638306,8.609277963638306,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,particle_collision,th,3,0.11657693987311656,0.03885897995770552,8.578025817871094,8.578025817871094,8.578025817871094,8.578025817871094,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,particle_collision,th,4,0.11678966097143466,0.029197415242858665,8.56240177154541,8.56240177154541,8.56240177154541,8.56240177154541,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,empty_play,mp,1,0.11188940131504534,0.11188940131504534,8.937397003173828,8.937397003173828,8.937397003173828,8.937397003173828,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,empty_play,mp,2,0.21622861200289398,0.10811430600144699,9.249891996383667,9.249891996383667,9.187394142150879,9.312389850616455,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,empty_play,mp,3,0.3171964666161027,0.1057321555387009,9.458229462305704,9.499892473220825,9.374894618988037,9.499901294708252,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,empty_play,mp,4,0.41011275599092745,0.10252818899773186,9.753797113895416,9.77332854270935,9.656139373779297,9.812391996383667,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,empty_play,th,1,0.11091985243704247,0.11091985243704247,9.01551866531372,9.01551866531372,9.01551866531372,9.01551866531372,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,empty_play,th,2,0.11347648208036178,0.05673824104018089,8.812398672103882,8.812398672103882,8.812398672103882,8.812398672103882,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,empty_play,th,3,0.1120853510040158,0.037361783668005265,8.921772480010986,8.921772480010986,8.921772480010986,8.921772480010986,8f4e90ff8f174d25
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,empty_play,th,4,0.11015617248229316,0.02753904312057329,9.078020572662354,9.078020572662354,9.078020572662354,9.078020572662354,8f4e90ff8f174d25
