cpu,hardware,bench_env,os_type,os_release,os_version,blender_version,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time,bench_hash
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,particle_movement,mp,1,0.25123853597611046,0.25123853597611046,3.980281114578247,3.980281114578247,3.980281114578247,3.980281114578247,ac4993b9cd7a45b9
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,particle_movement,mp,2,0.47665255762373193,0.23832627881186597,4.196285963058472,4.196285963058472,4.157550096511841,4.2350218296051025,ac4993b9cd7a45b9
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,particle_movement,mp,3,0.6559032654772636,0.21863442182575454,4.573873043060303,4.5705530643463135,4.562005996704102,4.589060068130493,ac4993b9cd7a45b9
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,particle_movement,mp,4,0.7910803034452284,0.1977700758613071,5.056495666503906,5.043752551078796,5.039557695388794,5.098919868469238,ac4993b9cd7a45b9
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,particle_movement,mp,5,0.8916118510491196,0.17832237020982392,5.607891416549682,5.606168746948242,5.584829330444336,5.636112928390503,ac4993b9cd7a45b9
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,particle_movement,mp,6,0.963231614847841,0.16053860247464016,6.229307254155477,6.229578137397766,6.154479265213013,6.291229963302612,ac4993b9cd7a45b9
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,particle_movement,mp,7,1.0450497571189994,0.14929282244557135,6.698886564799717,6.668806791305542,6.603477954864502,6.8031392097473145,ac4993b9cd7a45b9
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,particle_movement,mp,8,1.0751038869640384,0.1343879858705048,7.441355496644974,7.439122438430786,7.380378723144531,7.525288820266724,ac4993b9cd7a45b9
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,particle_movement,mp,9,1.1296367245552645,0.1255151916172516,7.9677785237630205,7.9561028480529785,7.885714769363403,8.11592698097229,ac4993b9cd7a45b9
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,particle_movement,mp,10,1.1355980019032477,0.11355980019032477,8.806779742240906,8.810231924057007,8.667633771896362,8.907171964645386,ac4993b9cd7a45b9
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,particle_movement,mp,11,1.103302151858424,0.1003001956234931,9.970755447040904,10.011522054672241,9.84115195274353,10.077700138092041,ac4993b9cd7a45b9
