cpu,platform,platform_core_num,bench_env,os_type,os_release,os_version,blender_version,bench_version,bench_max_core_num,bench_hash,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,2797feb7cac34f01,particle_movement,mp,1,0.662782962,0.662782962,1.508789539,1.508789539,1.508789539,1.508789539
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,2797feb7cac34f01,particle_movement,mp,2,1.256079455,0.628039728,1.592262626,1.592262626,1.589004993,1.595520258
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,2797feb7cac34f01,particle_movement,mp,3,1.818970306,0.606323435,1.649300178,1.647769451,1.644028902,1.65610218
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,2797feb7cac34f01,particle_movement,mp,4,2.181102485,0.545275621,1.833964586,1.829810619,1.829469442,1.846767664
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,2797feb7cac34f01,particle_movement,mp,5,2.446000913,0.489200183,2.044189644,2.046623707,2.029425621,2.05385685
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,2797feb7cac34f01,particle_movement,mp,6,2.790921693,0.465153616,2.149991711,2.139976025,2.1307652,2.17951417
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,2797feb7cac34f01,particle_movement,mp,7,2.941169044,0.420167006,2.380588361,2.37742877,2.313604832,2.423633575
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,2797feb7cac34f01,particle_movement,mp,8,3.299231077,0.412403885,2.425572038,2.409123063,2.379805565,2.50378418
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,2797feb7cac34f01,particle_movement,mp,9,3.690206352,0.410022928,2.440338797,2.433981895,2.351570606,2.520998955
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,2797feb7cac34f01,particle_movement,mp,10,4.015804558,0.401580456,2.49072237,2.476553321,2.433162689,2.550089598
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,2797feb7cac34f01,particle_movement,mp,11,4.241977948,0.385634359,2.597793232,2.612907171,2.454145193,2.758606911
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,2797feb7cac34f01,particle_movement,mp,12,4.43054576,0.369212147,2.724473079,2.848996043,2.427582741,2.915224791
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,2797feb7cac34f01,particle_movement,mp,13,4.484857404,0.344989031,2.93787263,2.889555931,2.451737404,3.508738756
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,2797feb7cac34f01,particle_movement,mp,14,4.405637565,0.314688398,3.224643605,3.333230019,2.495037794,3.683404207
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,2797feb7cac34f01,particle_movement,mp,15,4.278919375,0.285261292,3.564619446,3.694169521,2.431976557,4.008334637
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,2797feb7cac34f01,particle_movement,mp,16,3.910546265,0.244409142,4.095390677,4.139440894,3.861448288,4.236046791
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,2797feb7cac34f01,particle_movement,th,1,0.663214533,0.663214533,1.507807732,1.507807732,1.507807732,1.507807732
