cpu,platform,platform_core_num,bench_env,os_type,os_release,os_version,blender_version,bench_version,bench_max_core_num,bench_hash,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,mp,1,0.668427418118654,0.668427418118654,1.496048744999996,1.496048744999996,1.496048744999996,1.496048744999996
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,mp,2,1.2526253550143376,0.6263126775071688,1.596646723500001,1.596646723500001,1.596182792999997,1.597110654000005
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,mp,3,1.7177893631811503,0.5725964543937168,1.7464306656666697,1.7464364999999873,1.7462487980000105,1.7466066990000115
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,mp,4,2.1156049812488407,0.5289012453122102,1.8907121347500038,1.8907406910000049,1.8905594420000114,1.890807714999994
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,mp,5,2.4198684877042735,0.48397369754085473,2.0662755011999936,2.0743265099999917,2.054077188000008,2.0744089909999843
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,mp,6,2.8003457710980295,0.4667242951830049,2.143684994499987,2.145082429999988,2.06780677499998,2.1952974889999837
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,mp,7,2.870979197741491,0.41013988539164153,2.439341963428583,2.441083820000017,2.3286151050000115,2.4846831910000162
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,mp,8,2.927249450967006,0.36590618137087577,2.7338928054999947,2.754023380499987,2.6301921609999965,2.776242467000003
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,mp,9,3.3375567480621244,0.3708396386735694,2.712157267333336,2.6264678329999924,2.511134459999994,3.1048085740000033
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,mp,10,3.590950490346841,0.35909504903468414,2.8087959795000046,2.656529079500004,2.507183604000005,3.178810012000014
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,mp,11,3.629531315786801,0.32995739234425464,3.0639695032727188,3.315902981999983,2.6629356239999993,3.395283790999997
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,mp,12,3.811314392749006,0.3176095327290838,3.1952171077500062,3.4110716309999987,2.6147102680000103,3.5432968640000126
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,mp,13,3.724890959029523,0.2865300737715018,3.552582771692283,3.6750940579999565,2.77434528699996,3.937172256999986
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,mp,14,3.8435436055325454,0.27453882896661036,3.693140195500011,3.8587014145000182,2.7842370150000306,4.009032601999991
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,mp,15,3.822087552340652,0.25480583682271013,3.956102232799973,4.047240537999983,2.918661613999973,4.237334868999994
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,mp,16,3.7134760863053957,0.23209225539408723,4.309612358375009,4.281429852500025,4.226483164000001,4.416439007000008
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,th,1,0.664116126028178,0.664116126028178,1.5057607560000292,1.5057607560000292,1.5057607560000292,1.5057607560000292
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,th,2,0.886272645913485,0.4431363229567425,1.1283209569999713,1.1283209569999713,1.1283209569999713,1.1283209569999713
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,th,3,0.9843725764285903,0.3281241921428634,1.0158755169999836,1.0158755169999836,1.0158755169999836,1.0158755169999836
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,th,4,1.0399384622654695,0.25998461556636737,0.9615953599999898,0.9615953599999898,0.9615953599999898,0.9615953599999898
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,th,5,1.0801848977981543,0.21603697955963086,0.9257674330000327,0.9257674330000327,0.9257674330000327,0.9257674330000327
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,th,6,1.1024926334226128,0.18374877223710215,0.9070355389999918,0.9070355389999918,0.9070355389999918,0.9070355389999918
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,th,7,1.1200194747193806,0.16000278210276866,0.892841618000034,0.892841618000034,0.892841618000034,0.892841618000034
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,th,8,1.1395768221356721,0.14244710276695902,0.877518724999959,0.877518724999959,0.877518724999959,0.877518724999959
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,th,9,1.147610936889701,0.1275123263210779,0.8713754529999846,0.8713754529999846,0.8713754529999846,0.8713754529999846
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,th,10,1.1488378891845787,0.11488378891845788,0.8704448290000073,0.8704448290000073,0.8704448290000073,0.8704448290000073
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,th,11,1.1205915296090405,0.1018719572371855,0.8923858280000445,0.8923858280000445,0.8923858280000445,0.8923858280000445
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,th,12,1.1537725125405185,0.09614770937837654,0.8667219829999908,0.8667219829999908,0.8667219829999908,0.8667219829999908
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,th,13,1.1566483127745901,0.08897294713650693,0.8645670330000144,0.8645670330000144,0.8645670330000144,0.8645670330000144
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,th,14,1.1611110047920656,0.0829365003422904,0.861244097999986,0.861244097999986,0.861244097999986,0.861244097999986
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,th,15,1.155147851306813,0.07700985675378753,0.8656900489999657,0.8656900489999657,0.8656900489999657,0.8656900489999657
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_movement,th,16,1.1351421292673745,0.0709463830792109,0.8809469529999774,0.8809469529999774,0.8809469529999774,0.8809469529999774
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_collision,mp,1,0.5554166319704953,0.5554166319704953,1.8004502249999632,1.8004502249999632,1.8004502249999632,1.8004502249999632
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_collision,mp,2,1.1104692948998638,0.5552346474499319,1.8010403719999886,1.8010403719999886,1.8008126240000024,1.8012681199999747
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_collision,mp,3,1.662185206379005,0.5540617354596683,1.8048530503333307,1.8047209179999868,1.8046911189999832,1.8051471140000217
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_collision,mp,4,2.2103369374784583,0.5525842343696146,1.8096791227499835,1.8098093939999842,1.8086557519999928,1.810441950999973
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_collision,mp,5,2.7446282527807346,0.548925650556147,1.8217405058000053,1.8219299069999693,1.8207281300000204,1.822360348000018
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_collision,mp,6,3.2373340041289764,0.5395556673548294,1.8533784663333013,1.853935946999968,1.8503541469999618,1.855601240999988
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,1_CPU_Supermicro,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,710b3b5758c74b43,particle_collision,mp,7,3.6503013255647843,0.5214716179378264,1.917652317857127,1.9188929889999713,1.914900629999977,1.920578642999999
