cpu,hardware,bench_env,os_type,os_release,os_version,blender_version,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time,bench_hash
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,hosting,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,particle_movement,mp,1,0.29258983789298126,0.29258983789298126,3.4177536964416504,3.4177536964416504,3.4177536964416504,3.4177536964416504,714148e941bf4b9a
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,hosting,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,particle_movement,mp,2,0.5383131989311106,0.2691565994655553,3.715309262275696,3.715309262275696,3.714998483657837,3.7156200408935547,714148e941bf4b9a
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,hosting,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,particle_movement,mp,3,0.7387613489521629,0.24625378298405431,4.06086262067159,4.061150074005127,4.052426815032959,4.069010972976685,714148e941bf4b9a
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,hosting,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,particle_movement,mp,4,0.9504436017202077,0.23761090043005192,4.208563566207886,4.2086228132247925,4.204047918319702,4.212960720062256,714148e941bf4b9a
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,hosting,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,particle_movement,mp,5,1.0452637686679844,0.20905275373359689,4.783906412124634,4.800576448440552,4.695160865783691,4.815000295639038,714148e941bf4b9a
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,hosting,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,particle_movement,mp,6,1.1771944145692952,0.19619906909488252,5.0976459582646685,5.108222842216492,4.979276418685913,5.166511297225952,714148e941bf4b9a
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,hosting,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,particle_movement,mp,7,1.2698529289525464,0.1814075612789352,5.513773202896118,5.529245138168335,5.383090257644653,5.608267307281494,714148e941bf4b9a
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,hosting,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,particle_movement,mp,8,1.3463444179006283,0.16829305223757854,5.9432182013988495,5.947560787200928,5.8309149742126465,6.0622217655181885,714148e941bf4b9a
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,hosting,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,particle_movement,mp,9,1.5051078279759667,0.16723420310844073,5.984787066777547,5.972749471664429,5.762234210968018,6.2845823764801025,714148e941bf4b9a
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,hosting,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,particle_movement,mp,10,1.6113725298339479,0.1611372529833948,6.221369409561158,6.085901856422424,5.839660167694092,6.6221795082092285,714148e941bf4b9a
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,hosting,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,particle_movement,mp,11,1.6857265321393684,0.1532478665581244,6.573065215891058,7.010772943496704,5.873516798019409,7.160753965377808,714148e941bf4b9a
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,hosting,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,particle_movement,mp,12,1.7565789974200432,0.14638158311833693,6.887613753477733,7.285852789878845,5.9771270751953125,7.410480260848999,714148e941bf4b9a
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,hosting,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,particle_movement,mp,13,1.7726685364033954,0.13635911818487656,7.427300875003521,7.627062797546387,6.0226733684539795,8.32633113861084,714148e941bf4b9a
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,hosting,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,particle_movement,mp,14,1.7976917314484429,0.12840655224631733,7.877954874719892,8.378471493721008,6.1539223194122314,8.516221761703491,714148e941bf4b9a
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,hosting,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,particle_movement,mp,15,1.7800475765902999,0.11866983843935333,8.519254843393961,8.738627433776855,6.030153274536133,9.065996408462524,714148e941bf4b9a
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,hosting,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,particle_movement,mp,16,1.6849670440866689,0.1053104402554168,9.496395900845528,9.493051886558533,9.356170892715454,9.715773820877075,714148e941bf4b9a
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,hosting,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,particle_movement,th,1,0.2914106441938692,0.2914106441938692,3.4315836429595947,3.4315836429595947,3.4315836429595947,3.4315836429595947,714148e941bf4b9a
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,hosting,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,particle_movement,th,2,0.3821300374258037,0.19106501871290185,2.616910219192505,2.616910219192505,2.616910219192505,2.616910219192505,714148e941bf4b9a
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,hosting,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,particle_movement,th,3,0.42319074601183737,0.14106358200394578,2.3630006313323975,2.3630006313323975,2.3630006313323975,2.3630006313323975,714148e941bf4b9a
