cpu,platform,platform_core_num,bench_env,os_type,os_release,os_version,blender_version,bench_version,bench_max_core_num,bench_hash,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,mp,1,0.7887729341843791,0.7887729341843791,1.26779197999997,1.26779197999997,1.26779197999997,1.26779197999997
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,mp,2,1.5017757037631698,0.7508878518815849,1.331804495,1.331804495,1.323834216000023,1.3397747739999772
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,mp,3,2.0381374468148543,0.6793791489382848,1.471932147333329,1.4719657690000076,1.4717415889999756,1.4720890840000038
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,mp,4,2.5165372382200024,0.6291343095550006,1.5894857274999907,1.5894315429999892,1.5893909999999778,1.5896888240000067
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,mp,5,2.910016924538324,0.5820033849076648,1.7182030851999912,1.718177312000023,1.717963109999971,1.7185336669999742
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,mp,6,3.3408639269207945,0.5568106544867991,1.7962746358333181,1.808776784999992,1.7581749130000048,1.8170450939999796
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,mp,7,3.640823970705002,0.5201177101007145,1.9235114414285508,1.9534465119999709,1.8465809229999763,1.955526888999998
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,mp,8,3.9061835419578474,0.48827294274473093,2.049214284374983,2.0757658974999913,1.9656305319999774,2.0917164960000036
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,mp,9,4.342788883070898,0.4825320981189887,2.090641950333318,2.0259826820000058,1.9217097330000001,2.500859979999973
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,mp,10,4.482695321897466,0.4482695321897466,2.2710964832999876,2.049620548500002,1.9541588429999592,2.663709885000003
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,mp,11,4.37979890534195,0.3981635368492682,2.5666473885454324,2.872313541999972,2.1565013919999956,2.923038099999985
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,mp,12,4.669958385954003,0.3891631988295003,2.628254823250032,2.8724582500000224,2.060475780000047,2.9159519600000294
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,mp,13,4.586128548276896,0.3527791190982228,2.910779226076937,3.0621002810000277,2.1366001730000335,3.3151054489999865
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,mp,14,4.6193778792736016,0.32995556280525723,3.1024570515000227,3.331898530000018,2.152312567000024,3.4056147520000195
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,mp,15,4.556562796280626,0.30377085308537505,3.3496769360000256,3.4167409440000256,2.124224416000004,3.62879033400003
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,mp,16,4.32740457271029,0.27046278579439315,3.6979730331874663,3.6891486385000007,3.6302625979999448,3.768815123999957
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,th,1,0.7861605238484932,0.7861605238484932,1.2720048510000197,1.2720048510000197,1.2720048510000197,1.2720048510000197
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,th,2,1.0502974509600234,0.5251487254800117,0.9521112319999929,0.9521112319999929,0.9521112319999929,0.9521112319999929
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,th,3,1.1603806343216878,0.38679354477389594,0.8617861850000281,0.8617861850000281,0.8617861850000281,0.8617861850000281
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,th,4,1.2303603468186757,0.3075900867046689,0.812770017000048,0.812770017000048,0.812770017000048,0.812770017000048
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,th,5,1.2881323517554621,0.25762647035109243,0.776317742999936,0.776317742999936,0.776317742999936,0.776317742999936
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,th,6,1.3164937788012108,0.2194156298002018,0.7595934110000826,0.7595934110000826,0.7595934110000826,0.7595934110000826
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,th,7,1.3492889431448463,0.1927555633064066,0.7411311009999508,0.7411311009999508,0.7411311009999508,0.7411311009999508
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,th,8,1.3663111792318656,0.1707888974039832,0.7318976930000645,0.7318976930000645,0.7318976930000645,0.7318976930000645
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,th,9,1.3627899174739941,0.1514211019415549,0.7337888160000148,0.7337888160000148,0.7337888160000148,0.7337888160000148
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,th,10,1.367522315670266,0.1367522315670266,0.7312494929999502,0.7312494929999502,0.7312494929999502,0.7312494929999502
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,th,11,1.3589821721462658,0.12354383383147871,0.7358448259999477,0.7358448259999477,0.7358448259999477,0.7358448259999477
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,th,12,1.3348011162353866,0.11123342635294887,0.7491752800000313,0.7491752800000313,0.7491752800000313,0.7491752800000313
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,th,13,1.2893752774605338,0.0991827136508103,0.7755693920000795,0.7755693920000795,0.7755693920000795,0.7755693920000795
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,th,14,1.3073179279397633,0.09337985199569739,0.7649248730000409,0.7649248730000409,0.7649248730000409,0.7649248730000409
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,th,15,1.293370283387499,0.0862246855591666,0.7731737870000188,0.7731737870000188,0.7731737870000188,0.7731737870000188
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_movement,th,16,1.272010550981546,0.07950065943634663,0.7861570009999923,0.7861570009999923,0.7861570009999923,0.7861570009999923
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_collision,mp,1,0.5823319271568562,0.5823319271568562,1.717233682999904,1.717233682999904,1.717233682999904,1.717233682999904
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_collision,mp,2,1.1629921431274708,0.5814960715637354,1.7197020735000024,1.7197020735000024,1.7197011939999811,1.7197029530000236
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_collision,mp,3,1.7420787100217496,0.5806929033405832,1.7220806296666449,1.7220853229999875,1.7220255979999592,1.7221309679999877
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_collision,mp,4,2.317427514708325,0.5793568786770813,1.7260559007499978,1.7246606515000167,1.7242741759999944,1.7306281239999635
Intel(R) Xeon(R) E-2388G CPU @ 3.20GHz,standart,16,bare,Lnx,5.15.0-30-generic,#31-Ubuntu SMP Thu May 5 10:00:34 UTC 2022,4.0.2,1_0_1,16,5a27a0307fe8404c,particle_collision,mp,5,2.894241621324051,0.5788483242648101,1.727569080399985,1.7280994899999769,1.7253322089999301,1.7286641260000124
