cpu,platform,platform_core_num,bench_env,os_type,os_release,os_version,blender_version,bench_version,bench_max_core_num,bench_hash,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,1,0.354148418,0.354148418,2.823674906,2.823674906,2.823674906,2.823674906
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,2,0.705956942,0.352978471,2.833037644,2.833037644,2.829813136,2.836262152
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,3,1.041437389,0.347145796,2.880909379,2.866022644,2.856241932,2.920463562
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,4,1.401034267,0.350258567,2.855053261,2.85595045,2.843851699,2.864460445
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,5,1.739928533,0.347985707,2.873823084,2.86693682,2.846764666,2.904844606
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,6,2.081514345,0.346919057,2.882723905,2.895506974,2.847114439,2.909686672
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,7,2.407737128,0.343962447,2.907517623,2.906358742,2.869651795,2.954130257
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,8,2.735344356,0.341918044,2.924879897,2.923702365,2.895338295,2.970103565
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,9,3.079534036,0.342170448,2.922914876,2.93431542,2.866316685,2.95648236
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,10,3.406687602,0.34066876,2.935554359,2.938368796,2.906581237,2.974676091
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,11,3.722050416,0.33836822,2.95558669,2.950761227,2.907128707,2.999876217
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,12,4.064275722,0.338689643,2.952659407,2.957677031,2.92552842,2.973988574
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,13,4.394701885,0.338053991,2.958142973,2.956318292,2.933018434,2.973254399
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,14,4.715267206,0.3368048,2.96931588,2.969033515,2.931277615,3.023533482
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,15,5.026943745,0.335129583,2.984072019,2.98290046,2.951881188,3.01919272
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,16,5.337056152,0.33356601,2.998042253,2.994581358,2.96291705,3.036928838
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,17,5.671194518,0.333599678,2.997739695,2.99065431,2.973507572,3.041238121
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,18,5.969301351,0.331627853,3.015547113,3.015662932,2.985623401,3.062129006
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,19,6.265541698,0.329765353,3.032685773,3.025279916,2.989104341,3.096333084
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2_CPU,112,bare,Lnx,5.15.0-71-generic,#78-Ubuntu SMP Tue Apr 18 09:00:29 UTC 2023,4.0.2,1_0_2,112,d0bb289052284671,particle_movement,mp,20,6.590144087,0.329507204,3.035047547,3.027618638,2.997923696,3.084558877
