cpu,platform,platform_core_num,bench_env,os_type,os_release,os_version,blender_version,bench_version,bench_max_core_num,bench_hash,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,mp,1,0.585390858,0.585390858,1.708260363,1.708260363,1.708260363,1.708260363
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,mp,2,1.120699503,0.560349751,1.784613053,1.784613053,1.779732042,1.789494064
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,mp,3,1.596641514,0.532213838,1.879204467,1.871327722,1.85683955,1.909446128
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,mp,4,1.904385785,0.476096446,2.100415083,2.1000485,2.09973334,2.10182999
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,mp,5,2.112132054,0.422426411,2.367287663,2.363381799,2.362703812,2.374269998
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,mp,6,2.309682157,0.384947026,2.597905916,2.590033424,2.586098139,2.641606895
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,mp,7,2.511740272,0.358820039,2.787061762,2.79378295,2.755812019,2.821527121
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,mp,8,2.553421432,0.319177679,3.133316458,3.12374083,3.112969303,3.209336658
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,mp,9,2.560462627,0.284495847,3.515162517,3.515464363,3.472843045,3.56473208
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,mp,10,2.521401343,0.252140134,3.966113743,3.970378016,3.933312053,3.986357186
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,mp,11,2.429561806,0.220869255,4.527985116,4.532860589,4.458117135,4.606661052
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,mp,12,2.602023501,0.216835292,4.611928766,4.609505118,4.565141113,4.66656664
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,th,1,0.590991565,0.590991565,1.692071527,1.692071527,1.692071527,1.692071527
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,th,2,0.753927146,0.376963573,1.326388107,1.326388107,1.326388107,1.326388107
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,th,3,0.796081443,0.265360481,1.256152884,1.256152884,1.256152884,1.256152884
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,th,4,0.827151256,0.206787814,1.208968726,1.208968726,1.208968726,1.208968726
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,th,5,0.843339792,0.168667958,1.18576167,1.18576167,1.18576167,1.18576167
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,th,6,0.872422814,0.145403802,1.146233207,1.146233207,1.146233207,1.146233207
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,th,7,0.866580343,0.123797192,1.153961093,1.153961093,1.153961093,1.153961093
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,th,8,0.862166468,0.107770808,1.159868816,1.159868816,1.159868816,1.159868816
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,th,9,0.866499207,0.09627769,1.154069146,1.154069146,1.154069146,1.154069146
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,th,10,0.869483594,0.086948359,1.150107957,1.150107957,1.150107957,1.150107957
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,th,11,0.869661353,0.079060123,1.149872875,1.149872875,1.149872875,1.149872875
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_movement,th,12,0.871216205,0.07260135,1.147820706,1.147820706,1.147820706,1.147820706
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_collision,mp,1,0.418064277,0.418064277,2.391976679,2.391976679,2.391976679,2.391976679
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_collision,mp,2,0.828271788,0.414135894,2.414666386,2.414666386,2.414307032,2.415025741
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_collision,mp,3,1.21270448,0.404234827,2.473810752,2.474640368,2.47147083,2.475321058
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_collision,mp,4,1.602032336,0.400508084,2.496829247,2.496541159,2.495233343,2.499001328
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_collision,mp,5,1.882225297,0.376445059,2.656430904,2.656889645,2.654055165,2.657859094
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_collision,mp,6,2.052209289,0.342034882,2.923695349,2.923818502,2.913192552,2.931372098
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_collision,mp,7,2.081453154,0.297350451,3.363125564,3.367852513,3.333188046,3.381608517
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_collision,mp,8,2.179437156,0.272429645,3.67072111,3.678334959,3.64828093,3.682637426
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_collision,mp,9,2.323472103,0.258163567,3.873538818,3.875250894,3.852517072,3.888304209
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_collision,mp,10,2.404375086,0.240437509,4.159105529,4.159331615,4.139035183,4.176083523
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_collision,mp,11,2.401576,0.218325091,4.580331229,4.581814187,4.569259275,4.587266956
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_collision,mp,12,2.366045648,0.197170471,5.071762236,5.070516688,5.061779194,5.084039925
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_collision,th,1,0.417879792,0.417879792,2.393032685,2.393032685,2.393032685,2.393032685
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,12,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,1_0_2,12,6d92fda7fc494d3c,particle_collision,th,2,0.418831237,0.209415618,2.387596512,2.387596512,2.387596512,2.387596512
