cpu,hardware,bench_env,os_type,os_release,os_version,blender_version,bench_hash,test_type,mp_type,max_core_num,max_cpu_rating
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,2c44984fa44c4cc1,empty_play,mp,8,1.007394266
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,2c44984fa44c4cc1,empty_play,th,8,0.274119905
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,2c44984fa44c4cc1,particle_collision,mp,8,0.716609795
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,2c44984fa44c4cc1,particle_collision,th,8,0.189206604
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,2c44984fa44c4cc1,particle_movement,mp,8,0.598654245
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,2c44984fa44c4cc1,particle_movement,th,8,0.201275777
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,2effd2a659bb4843,empty_play,mp,8,1.295377372
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,2effd2a659bb4843,empty_play,th,8,0.217533698
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,2effd2a659bb4843,particle_collision,mp,8,1.29281559
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,2effd2a659bb4843,particle_collision,th,8,0.218818258
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,2effd2a659bb4843,particle_movement,mp,8,0.746721239
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,2effd2a659bb4843,particle_movement,th,8,0.292397797
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,e6a54382baa14b72,empty_play,mp,8,1.087978313
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,e6a54382baa14b72,empty_play,th,8,0.210409435
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,e6a54382baa14b72,particle_collision,mp,8,1.1471951
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,e6a54382baa14b72,particle_collision,th,8,0.212373694
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,e6a54382baa14b72,particle_movement,mp,8,0.92134153
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",bare,Win,10,10.0.19044,4.0.2,e6a54382baa14b72,particle_movement,th,8,0.313648634
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,8f4e90ff8f174d25,empty_play,mp,4,0.410112756
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,8f4e90ff8f174d25,empty_play,th,4,0.113476482
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,8f4e90ff8f174d25,particle_collision,mp,4,0.443872421
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,8f4e90ff8f174d25,particle_collision,th,4,0.11808259
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,8f4e90ff8f174d25,particle_movement,mp,4,0.327375488
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19045,4.0.2,8f4e90ff8f174d25,particle_movement,th,4,0.154965467
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,ac4993b9cd7a45b9,empty_play,mp,12,1.71390037
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,ac4993b9cd7a45b9,empty_play,th,12,0.354578131
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,ac4993b9cd7a45b9,particle_collision,mp,12,1.154846078
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Mac Book Pro 2018 32GRam,bare,Mac,22.6.0,Darwin Kernel Version 22.6.0: Tue Nov  7 21:48:06 PST 2023; root:xnu-8796.141.3.702.9~2/RELEASE_X86_64,4.0.2,ac4993b9cd7a45b9,particle_collision,th,12,0.18285975
